ID,X_mm,Y_mm,Intensity,Classification
f6ae0278-76b7-40cb-a0b0-b07cbc2c1bdc,-10,2,0.4005,destructive
e48d8b01-8848-418c-9234-f66df38ac8e5,-9.8,2,0.7903,destructive
d51dad27-61fb-4e0f-a6eb-62d569890ba4,-9.6,2,0.3616,destructive
4d2839d5-a3d6-4496-b777-acb79b0b4e04,-8.4,2,0.3589,constructive
3194e7f8-9d8a-4f64-ae26-32dbcad98df3,-7.6,2,0.5279,constructive
44ab617a-f340-4bf5-bac8-f87919c776ba,-7.4,2,0.3419,constructive
8706a021-41b9-4d4b-8e3c-4906c939a49f,-7.2,2,0.3288,destructive
3cb65863-b6b7-4050-bbd5-e98e379a6f35,-7,2,0.8457,destructive
c6082718-0336-4d81-a429-53fd319410c6,-6.8,2,0.7066,destructive
eb80e432-4749-4fa9-a409-1d5b3ab9bec0,-6,2,0.305,destructive
d3a88b73-fcfe-4e22-ad36-dcc443ac819a,-5.2,2,0.5775,destructive
36c1b71d-4726-4575-bf19-8b0dcb9e443a,-5,2,0.8659,destructive
26173c57-5b11-40bb-84a9-6a2b76848f64,-4.8,2,0.5914,destructive
be05112e-1e43-454f-8652-4544327f85cc,-4.4,2,0.3146,constructive
83812f74-c4ae-4bc9-b2e9-1b52711ceee1,-3.8,2,0.4213,constructive
914c7ae1-a36b-46d3-b2bb-34a120a71e3a,-3.6,2,0.8119,constructive
9f9c18cd-2433-49a6-8b68-8b45d3477a3e,-3.4,2,0.8868,constructive
9fedc626-f6a2-4137-b322-d3b11f249805,-3.2,2,0.4452,constructive
82ba84b0-b537-4a73-9bd2-50924701c020,-2.8,2,0.5469,destructive
b81a7358-1d68-439f-94c2-00b68ee6778d,-2.6,2,0.4681,destructive
92063941-df2b-488d-b86e-2c38258ad2c9,-2,2,0.3198,destructive
a900fdad-c3ed-48d4-a222-7b5a62375b94,-1.8,2,0.393,destructive
fae851c8-dbfe-410a-84d3-6eec971af761,-0.8,2,0.6505,destructive
a2cb1197-b5ec-4245-95b6-a8686a45c61f,-0.6,2,0.7214,destructive
e04bfc6f-2482-4b8e-8cd0-6e359ddc8b79,-0.4,2,0.3859,destructive
8953d8e4-5441-4c8c-a3d5-30171ecad06a,0,2,0.3288,constructive
b9e581e7-604a-4a50-8d10-9c30c5046ba8,0.4,2,0.3859,destructive
993ed18f-8182-459d-82b6-c875d0ef320e,0.6,2,0.7214,destructive
23fc850a-9d23-4c4f-9f10-d4fc8244ea64,0.8,2,0.6505,destructive
628ba8c2-a9a8-44ac-b798-5387c5e07a08,1.8,2,0.393,destructive
a5924884-c03c-491a-abab-7f43e75abcf9,2,2,0.3198,destructive
bd285646-4aff-4c6d-85bc-6b0cb5f84bb7,2.6,2,0.4681,destructive
3ae05a4d-b8c0-44bb-b416-cf4e0526f6b4,2.8,2,0.5469,destructive
98249ffa-828e-4e6e-ac91-0a1445d54123,3.2,2,0.4452,constructive
852cf324-a4c0-4385-8951-f6f5c6875ba7,3.4,2,0.8868,constructive
56b30094-e921-4cdf-8583-4f9d58378899,3.6,2,0.8119,constructive
6aa08c9d-2683-4689-893b-570a335fee54,3.8,2,0.4213,constructive
7afed9e8-8fe8-43af-b159-b90bf25e96c3,4.4,2,0.3146,constructive
8e2b1033-adb5-4e7b-b0c2-01b63c1c8c9d,4.8,2,0.5914,destructive
682b31dc-9583-4b60-9b40-86ad63a633c3,5,2,0.8659,destructive
d1b393cc-0314-4f7d-a304-0a9c7b8e4e54,5.2,2,0.5775,destructive
59c3fe5c-f7fe-4605-bcbb-1cb82510061a,6,2,0.305,destructive
44e03a48-1d40-41c1-8084-9d615938323b,6.8,2,0.7066,destructive
cbafbb16-f169-4008-8b48-8aadcf2d7845,7,2,0.8457,destructive
48eaf0a2-7df8-4542-a587-b9a127f19bf9,7.2,2,0.3288,destructive
4e3eb235-a736-4871-8928-bcfa17590596,7.4,2,0.3419,constructive
8cfc8793-04de-458a-8eb6-9e1cef47dc5a,7.6,2,0.5279,constructive
ff4574e7-169e-4f95-9bb5-ab97fb870fd0,8.4,2,0.3589,constructive
49f924d0-5181-4342-b339-22951d4a45a8,9.6,2,0.3616,destructive
3880e3e8-57cf-4c10-8dce-a8d9786657fa,9.8,2,0.7903,destructive
c523a36e-23b4-4d6d-abe5-111c4cda826a,10,2,0.4005,destructive
b55b907a-a4a2-4458-bd29-a6e469a16bf3,-9.8,2.2,0.4278,destructive
d9b4e205-8d90-4ec7-87a7-1d25c233b7ba,-9,2.2,0.4841,destructive
c49d2f49-ba5a-4553-90e1-4bd702e4dc4f,-8.8,2.2,0.6018,destructive
a97b3b35-571b-4862-9427-237c69c9ee03,-8.4,2.2,0.5706,constructive
f69e6f62-4c1a-4a33-8acd-a54e35770569,-8.2,2.2,0.655,constructive
30c69675-143e-4d66-bbf4-bceaf800de3d,-8,2.2,0.3731,constructive
1461aaa2-dd5f-4fd9-a84c-3236310b6a18,-7.6,2.2,0.3199,constructive
c3aa956a-c22c-4719-b7a3-7bfe7b2b1676,-7.2,2.2,0.3026,destructive
27b9cda9-510f-4e25-b937-117708d95188,-7,2.2,0.6408,destructive
45fb91bc-f471-4065-8ada-0d76fbb90e25,-6.8,2.2,0.3877,destructive
ef26b0e5-6cd4-48c7-8138-94d8b674ba3f,-6.4,2.2,0.4339,constructive
416e7268-c578-4953-994d-1fa01f8ecbfc,-6,2.2,0.3831,destructive
