ID,X_mm,Y_mm,Intensity,Classification
895160a4-49fa-4c72-86f8-958ab5deca26,-9,2,0.4416,constructive
8df0b625-6ab6-409d-871d-aca8aaed3853,-8.8,2,0.4715,constructive
4b6c4385-4800-4487-97fd-b4a4b442acbb,-7.8,2,0.4338,constructive
bd3fe0d9-65c8-4c5e-99f5-3b613fb5b3cd,-7.6,2,0.6842,constructive
a9715f97-035b-4870-890a-7c0deb1bc1cc,-7.4,2,0.5261,constructive
758b8ec6-372e-41a5-a454-702166b5e5de,-7,2,0.3741,destructive
44d59f11-9aca-4f1e-ac3b-3e24564d35a7,-6.8,2,0.5323,destructive
be813610-896d-4bc2-bbd7-a1b2344c327b,-6.6,2,0.4175,destructive
b1c43c37-afb9-4947-9691-262943d97f76,-6,2,0.4455,destructive
bd7db152-e928-4d50-87a3-5763880f9493,-5.8,2,0.5802,destructive
bcb4d4b8-5c37-40cf-8717-16b6acbf305e,-5.6,2,0.4629,destructive
b2f076f7-a41e-48b9-a4dc-55bf1424d161,-5.2,2,0.3329,constructive
262fe9a2-898e-4ec7-a2b5-89aabd781c8f,-5,2,0.5246,constructive
8b6c156b-1ea0-449a-848f-d9bc1e10a016,-4.8,2,0.3878,constructive
6eef4d43-cc98-4ba3-9828-d35c7e744fb6,-3.8,2,0.3175,constructive
c5378ae9-99a8-4e1d-a0d4-daa7c49a5e13,-3.6,2,0.3436,constructive
960bf65d-e470-48bb-8603-cc712b706c78,-3,2,0.4469,destructive
2aa33e95-584e-4db0-8b1c-a2195fef1254,-2.8,2,0.4541,destructive
9176f0c7-75e0-4da5-9c45-b907cb5f98ca,-1.2,2,0.3751,constructive
3a9c5c30-4554-4506-8517-d493145cdeea,-1,2,0.6891,constructive
d662a9b9-fa83-47da-bf45-e34501c3a8a5,-0.8,2,0.778,constructive
c8a488be-ed3a-4cbf-86ee-053ffca862e5,-0.6,2,0.5814,constructive
ef10f29a-ce1b-4b48-9635-fd740f202b9f,0,2,0.3179,destructive
778ea045-4485-4e28-8ce8-9785aeddcfb9,0.6,2,0.5814,constructive
052b50c4-eae4-4e1b-9208-027ca1ad80fe,0.8,2,0.778,constructive
4f898366-d797-40b1-a4c1-626248894e67,1,2,0.6891,constructive
0111637d-8937-4905-b7dc-c2015c7b48c0,1.2,2,0.3751,constructive
d953bcb1-9fb2-4bea-bd8d-c6756f04423f,2.8,2,0.4541,destructive
876df921-0652-4a66-9252-e27e0e89230a,3,2,0.4469,destructive
53c7a628-ccf6-4dfa-8001-8fa8d1e386f9,3.6,2,0.3436,constructive
4b44a078-ec66-45e6-a884-6635505eb02d,3.8,2,0.3175,constructive
7d186fed-37ca-40ed-b0d1-c66d46aa5157,4.8,2,0.3878,constructive
bf8b0177-eb33-4e80-aef8-89f4db3d9968,5,2,0.5246,constructive
1c8fef4e-f782-4d46-9605-a99df1b0c412,5.2,2,0.3329,constructive
16784470-9145-41ee-aba7-7bda0e2d3507,5.6,2,0.4629,destructive
f57896f2-c5d4-4cd7-a1e5-65e535e322ce,5.8,2,0.5802,destructive
8ff17c1e-5cb1-4b36-aef3-d5876b45708e,6,2,0.4455,destructive
d38dd81f-f226-4edb-96be-6f6211d69d35,6.6,2,0.4175,destructive
b9252fdc-f122-4bdd-8168-c6f8d753e7f3,6.8,2,0.5323,destructive
854d069b-c7d6-4580-aa19-cb893a2461f5,7,2,0.3741,destructive
bc78806c-ac42-4d02-870a-dedf7bf23e53,7.4,2,0.5261,constructive
e091be11-4e07-4478-955b-dd9d935c8973,7.6,2,0.6842,constructive
5ce083d8-ae5a-49d6-8c00-a1e39f2559d5,7.8,2,0.4338,constructive
e4cddc6e-673c-4379-a1fd-f7c317200be7,8.8,2,0.4715,constructive
4430e972-e708-425f-9c47-4a2ae0a633c5,9,2,0.4416,constructive
c7b300a7-dcdc-40d5-a4db-041b3f72f555,-7.8,2.2,0.6319,constructive
10451518-a5b9-4b70-a5ec-ba13f3e48958,-7.6,2.2,0.7881,constructive
778628f1-b66b-4573-8406-bfa30d3f5028,-7.4,2.2,0.5356,constructive
c6de1ca4-1986-4635-b250-88f83c528672,-7,2.2,0.5106,destructive
f4674719-8cdb-4c41-a33a-2ebf7abc000c,-6.8,2.2,0.666,destructive
eba8af22-ed96-4f44-9234-ffae108cf3cf,-6.6,2.2,0.4601,destructive
c1c4290b-374f-4020-8702-76a088f592e0,-5.2,2.2,0.3709,constructive
61b40861-db37-4595-9a7d-c755d80e5255,-5,2.2,0.4968,constructive
3de4bba9-f05b-4337-90ab-0409cca8c7ff,-4.8,2.2,0.3217,constructive
3ff9dd97-bfb5-4dd9-8b90-49e7825ca9bc,-4.4,2.2,0.3305,destructive
afc0cb17-dd38-4f47-ad13-dd03136e5a39,-4.2,2.2,0.3448,destructive
5c4179c5-df09-4b55-9304-84e0ea201fbc,-3.6,2.2,0.3639,constructive
eccde7a0-c044-4a3f-834e-c64f002cefeb,-2.8,2.2,0.3249,destructive
ce0785b4-976b-44de-adb0-4c948de60402,-1.2,2.2,0.4728,constructive
d4eb6af2-4630-41c2-bb81-431ca60507eb,-1,2.2,0.6962,constructive
b9e26a2a-98f7-4d2c-a08b-b928cfff1aa4,-0.8,2.2,0.7545,constructive
211f866d-5ecf-4b92-a152-dfd469a703ee,-0.6,2.2,0.585,constructive
70d7b256-473c-4492-9811-5578c8982f1b,0.6,2.2,0.585,constructive
43961c7f-2fd1-4923-888f-f506bd40969b,0.8,2.2,0.7545,constructive
0fba5055-6e96-48d0-b27f-46deaf14e54c,1,2.2,0.6962,constructive
4f793e0a-4010-4be8-ab77-d24d36450374,1.2,2.2,0.4728,constructive
