ID,X_mm,Y_mm,Intensity,Classification
102ea1bb-b380-4e09-bb05-0a00b0d518df,-10,2,0.3479,destructive
387390bb-556d-4fd5-ab56-ca20df670035,-9.8,2,0.3764,destructive
ab6dc9f9-c9e6-4bec-a480-5bcc19792e6c,-9.4,2,0.3736,constructive
60ec7e47-b377-4d15-8f00-16c56aafbe84,-9.2,2,0.447,constructive
f146db24-f155-4785-a953-9e89ce93f5e6,-8,2,0.5315,destructive
54b1469a-888e-4b1f-b24b-febc7c6f1ba8,-7.8,2,0.9318,destructive
418e8d9c-f465-41d8-a8e2-ef998d8a3ff5,-7.6,2,0.8591,destructive
c1993bee-c848-4fa7-b837-df8b78247d22,-7.4,2,0.3361,destructive
6d992c81-930c-45e5-b416-02fac7589d43,-7,2,0.3764,constructive
fdee356e-98be-43ea-8958-3182b2fc6a3c,-5.6,2,0.499,destructive
3b7f1803-d872-48e9-b9d7-7efae7a7137e,-5.4,2,0.6332,destructive
5cf135fd-bd95-4675-9f11-2d77986d50da,-5.2,2,0.3964,destructive
1c84f73e-bee6-4382-b31b-161b9d05881a,-4.8,2,0.3368,constructive
668a3745-e869-43ef-b6fc-0ac2d589895f,-4.2,2,0.3799,destructive
4d5964f1-8b93-4fe8-8ee2-afcd010aaa87,-4,2,0.3565,destructive
94a9105e-bfc0-4de9-a271-c5e7353adb00,-3,2,0.3638,destructive
a27f609f-9e9e-427a-ab2c-a13365569b0a,-2.8,2,0.3043,destructive
34b4f586-9884-4ebd-aebc-df278b38527d,-1.8,2,0.6128,destructive
275cb9f4-de96-41f0-b005-669bf387420f,-1.6,2,0.7871,destructive
9f08e989-20a7-4011-a356-56412740e8ea,-1.4,2,0.5747,destructive
88f3d38a-de49-43d9-9a7d-dd83e4e31ce6,-1,2,0.4394,constructive
406286ef-a003-4ec7-8684-0063b1182436,-0.8,2,0.6746,constructive
24afd156-b094-404f-8150-60cad1d2fd3c,-0.6,2,0.5205,constructive
989e5477-8282-4ae0-8c3e-a4e6d7524e3a,-0.2,2,0.3404,destructive
75d71997-f426-4148-a13e-1fcf73847d23,0,2,0.5203,destructive
df3a9a92-4156-41de-b776-d3a342967a63,0.2,2,0.3404,destructive
34a3b680-b562-45cd-85c5-ab80c52d00e5,0.6,2,0.5205,constructive
cfb2f798-c1e2-4b4a-ba4d-61a94a89d9c1,0.8,2,0.6746,constructive
5e41e8ed-fee0-4f48-97fb-1ac4a416c011,1,2,0.4394,constructive
11e419bf-d0be-44a9-872a-08eb327068ba,1.4,2,0.5747,destructive
436e496c-d4a6-4bb4-88b4-32adb3763a91,1.6,2,0.7871,destructive
37ddc997-4a22-4bfd-b551-5e9895383332,1.8,2,0.6128,destructive
4ac6bb5d-d1ac-4db9-b76f-b52188c13193,2.8,2,0.3043,destructive
81607240-4043-4983-9476-115fb7932153,3,2,0.3638,destructive
508e8ac8-a898-4fa7-9671-b5c2f1c0e180,4,2,0.3565,destructive
b0810774-f692-4777-83c1-b7accca6092b,4.2,2,0.3799,destructive
9e4111de-c0fb-4755-8e1a-66b67d1dff7a,4.8,2,0.3368,constructive
2bbe7b9d-68b6-4ee4-9ac8-fa3df5776243,5.2,2,0.3964,destructive
06e693ac-6043-4c19-abd1-e94ee02e0729,5.4,2,0.6332,destructive
810c04d6-d2e6-44e7-b27c-a55aed2b4f8a,5.6,2,0.499,destructive
208450f3-1d0a-4baa-80a0-1bd8f725c71c,7,2,0.3764,constructive
436c9840-1cf6-4304-be45-5c65b5b6c549,7.4,2,0.3361,destructive
d8fbb216-7d6a-4c26-959e-407d0512223a,7.6,2,0.8591,destructive
ec7f47d3-fe3e-4e20-ad84-9cf55d82a916,7.8,2,0.9318,destructive
394bd7bc-822f-4af3-a85d-cb900dbddf66,8,2,0.5315,destructive
6063597a-ae14-4dde-8f69-ee20bce4890f,9.2,2,0.447,constructive
21862e25-dea6-4b8e-bcc5-9b6b0d0b4dbf,9.4,2,0.3736,constructive
3197fa0f-1331-490c-b757-2fec70c396e9,9.8,2,0.3764,destructive
fd970d6c-066d-4131-a759-bc7fa3a5da47,10,2,0.3479,destructive
032af757-403c-4077-b4aa-937cf93096ad,-10,2.2,0.664,destructive
a374c8e2-69d8-4d9f-bbab-307c188750f3,-9.8,2.2,0.649,destructive
de55f014-1d3b-4bd0-a301-6a9c55a79000,-9.4,2.2,0.5385,constructive
56af3dd4-2468-4f97-ada9-ee264f4e4249,-9.2,2.2,0.7609,constructive
57b52e91-9e74-480c-bc08-403916ade4d3,-9,2.2,0.5185,constructive
2964e2b3-578a-42a8-9155-503fb8284212,-8,2.2,0.4694,destructive
f7b681ee-6f3b-4cd1-87f4-e8c31197512c,-7.8,2.2,0.736,destructive
744da470-45af-4b9e-a428-7a89b580f0b4,-7.6,2.2,0.6324,destructive
90154f8f-a66e-4d20-bace-72beb5ec36b5,-7,2.2,0.3249,constructive
7ecaa40d-5d71-45dd-b1db-5fcff0acafa4,-6.6,2.2,0.5423,destructive
0ebbc233-21b5-4d06-94a6-476789e228d7,-6.4,2.2,0.6883,destructive
624cbf3b-8d52-412d-8556-4ffbac839074,-6.2,2.2,0.4709,destructive
2af81020-3a76-437d-9bd8-688b98d0acdf,-5.6,2.2,0.3093,destructive
9e69961a-3ca7-41a8-a1ce-e0f1a80c123a,-5.4,2.2,0.4217,destructive
2efa798d-97c2-4f14-8c04-6be15decd83e,-4.8,2.2,0.3315,constructive
239d8edd-1d0b-4b0e-b468-49ea01ef3244,-4.2,2.2,0.6098,destructive
10d4f44f-3400-4d06-b4c7-9db307d64e1d,-4,2.2,0.659,destructive
62cc0331-b2ec-4c1f-98bb-a70c8487904e,-3.8,2.2,0.3929,destructive
5dcdddcd-f656-48f3-b614-7b4422d20973,-2.2,2.2,0.3213,constructive
0c8be298-a724-47a1-ad93-e46314fed0a8,-1.6,2.2,0.4223,destructive
de092b30-0650-4a27-afc0-c824e6e1e4dd,-1,2.2,0.7399,constructive
5d8c9f4b-69da-4f1f-9e41-485429f4738b,-0.8,2.2,0.9681,constructive
c4a7b254-9b61-45cb-8850-b7d61b33824d,-0.6,2.2,0.7944,constructive
6b97dc2c-4ad1-40b0-b47e-1346eef51a4a,-0.4,2.2,0.3299,constructive
a1e60b20-aaa5-4797-91d9-6aaecf7a5edc,0,2.2,0.3394,destructive
873e9085-c203-4a5b-947e-70a9d0349386,0.4,2.2,0.3299,constructive
6b9cba2e-7a0f-4dd9-894c-2d705f303df4,0.6,2.2,0.7944,constructive
9d6b85f2-f5f1-434d-9b1b-e68574721683,0.8,2.2,0.9681,constructive
316c5fd7-62fa-4b8c-8acb-51ffa43df4dd,1,2.2,0.7399,constructive
8989d16e-04c0-44d3-89c4-a87c84da37af,1.6,2.2,0.4223,destructive
ce7abd16-849d-4e1d-a3c2-95005f7a1ef2,2.2,2.2,0.3213,constructive
6ab212b4-c632-4dae-8e3d-3e090926a1a1,3.8,2.2,0.3929,destructive
dbef9d6d-3633-461e-b8a1-94b9f69ffec6,4,2.2,0.659,destructive
f3481f0c-b8b7-4625-99e7-8da5f748ddbe,4.2,2.2,0.6098,destructive
62498892-5536-4db5-8f74-d0b7b9295b94,4.8,2.2,0.3315,constructive
0a0effbc-062b-47fd-8cfa-20511c937afd,5.4,2.2,0.4217,destructive
b7060a73-6fb6-4da8-8dac-d98a7cd1e100,5.6,2.2,0.3093,destructive
cfd2bbce-4621-4c91-a979-151247c7c371,6.2,2.2,0.4709,destructive
d5016eb1-3e69-4fca-b102-6d2c432a983b,6.4,2.2,0.6883,destructive
fc12ab54-5c01-49c7-afce-15b6bbb830cf,6.6,2.2,0.5423,destructive
995e79d5-b0cf-4bf5-86be-dfbb90ce5c4d,7,2.2,0.3249,constructive
e7da107e-7d00-422c-8627-d223c5a6bc5f,7.6,2.2,0.6324,destructive
1ffa9349-1838-4fc2-9df7-cf65b0de8f9d,7.8,2.2,0.736,destructive
88dc1dc4-6074-4374-82a7-45e9f4c650f5,8,2.2,0.4694,destructive
784f7a98-e7c9-4d81-81d3-91ede18159bd,9,2.2,0.5185,constructive
e1a7edac-cc7b-4d75-b9e3-c9c2c111bd15,9.2,2.2,0.7609,constructive
127efa02-801c-43e1-b3a3-a4e6e3303cfb,9.4,2.2,0.5385,constructive
08dce5a4-ae8e-405a-96fe-0f1c339128f3,9.8,2.2,0.649,destructive
462c8a34-2d08-4587-a805-46aeb7193c31,10,2.2,0.664,destructive
41fba42f-63d4-4727-aba1-40a25acdf629,-10,2.4,0.8419,destructive
059e0ff8-5424-4522-8587-64b958c73af1,-9.8,2.4,0.7257,destructive
cf73115c-a8ad-4457-a598-c767602842d9,-9.4,2.4,0.6887,constructive
d64f92a5-65a0-4f43-b0b7-4a65a542720e,-9.2,2.4,0.9132,constructive
d5464be5-de96-4242-9ca2-d282c9db8321,-9,2.4,0.5576,constructive
45fd0116-7d8e-4bd4-9d62-5af4a8b263d4,-7.8,2.4,0.3521,destructive
32fab781-5a7e-4595-9bf3-b3b56c6191bb,-7.6,2.4,0.3673,destructive
eb7d4ad0-dae5-4a4b-b43c-452dc4ef77c6,-6.8,2.4,0.3631,destructive
9d9d7541-52c7-47d9-a5f0-26594a807aab,-6.6,2.4,0.8301,destructive
8b8b4f56-3fea-43b0-9cfa-675a9b1b3419,-6.4,2.4,0.9256,destructive
adf89f27-446f-4466-a333-b2be7e2e3855,-6.2,2.4,0.5838,destructive
a1f6854e-7643-44fb-902c-5493b9fd1fde,-4.4,2.4,0.4326,destructive
3c0339af-5fb8-4e69-9dec-0ae1fc2ecaf5,-4.2,2.4,0.7844,destructive
1f46e640-29ca-4562-bd96-5f946c100a39,-4,2.4,0.8036,destructive
6ac3c3df-6e88-4af5-9dca-c41ce3709e61,-3.8,2.4,0.4537,destructive
b116cba8-ee57-489c-acdc-cccf60674437,-2.4,2.4,0.3985,constructive
fd69fcc8-7250-4884-80c1-1c89d7f0fd36,-2.2,2.4,0.4695,constructive
8e6d06c2-f4ae-48ab-8b13-922bd46fa9fb,-2,2.4,0.3014,constructive
4325368c-d009-495f-bb70-7a99daf66387,-1.2,2.4,0.303,constructive
97c8bc9b-b404-4049-9c06-a1951ae51432,-1,2.4,0.7275,constructive
e8847363-9932-417f-ba38-92b9d36c56c3,-0.8,2.4,0.9167,constructive
778b691b-6c5a-411b-96c4-20b842d9ece9,-0.6,2.4,0.7298,constructive
92e88d94-eb5d-415d-a747-e8a331c77e6e,0,2.4,0.4127,destructive
bf99d78b-f5dc-41be-a48a-c247ac77d359,0.6,2.4,0.7298,constructive
a9f786fc-d5f2-4194-ae62-a0ced661d2d6,0.8,2.4,0.9167,constructive
487b044f-492e-4dd2-ae4b-7a0dc5c9b312,1,2.4,0.7275,constructive
f70cd326-8f6b-413c-a2b1-9089b53992de,1.2,2.4,0.303,constructive
79b6cda3-49c3-4705-8a88-d669e82817d4,2,2.4,0.3014,constructive
aabf339d-2a3e-42f5-9617-885f2c65440d,2.2,2.4,0.4695,constructive
1ea0e619-fc87-404c-b439-6f17512bd846,2.4,2.4,0.3985,constructive
9e2a84ed-3a8e-4d19-bfe4-4c28cf4e1a14,3.8,2.4,0.4537,destructive
7d5e0060-5760-4eab-bad0-b7aaacb53d6e,4,2.4,0.8036,destructive
