ID,X_mm,Y_mm,Intensity,Classification
466d9887-7130-4902-a8d2-7bf9b41b910f,-10,2,0.5926,constructive
78bf92d9-c178-492e-9b97-26c1613cc7cf,-9,2,0.4039,destructive
7400ebfd-3bba-4191-b4d6-136691149b96,-8.8,2,0.5499,destructive
70973fff-39ec-4519-b68c-dd94e21db73a,-8.6,2,0.4795,destructive
7b87f3b5-c9cd-4fda-8bef-2748541418cd,-8.2,2,0.4555,constructive
fcd41cf1-af79-473e-8bb1-98ac7fe9c5c7,-8,2,0.7193,constructive
14c91331-7b98-4619-80e8-c54f561b4e3e,-7.8,2,0.5158,constructive
4aa7706e-110c-48a8-a566-62fc812cedfc,-6.8,2,0.541,constructive
99cfc5d0-52ad-4b66-91c4-fe8e3a0f92ea,-6.6,2,0.6032,constructive
98853581-882e-4b4c-8545-7156c749cb8d,-6.4,2,0.4326,constructive
93e19bd2-21ad-467c-91f4-41acad81c8a1,-6.2,2,0.303,constructive
e15b0d23-d976-429d-b6b5-e6c5ace37e44,-6,2,0.3999,constructive
4bffca97-743e-4666-a11b-f57ed0802de6,-5.8,2,0.6297,constructive
20053995-c361-4f84-b71a-dae423eb6b64,-5.6,2,0.7175,constructive
69dd5027-aa9a-43e4-8ed7-994600d417fe,-5.4,2,0.4886,constructive
42dec673-7f4d-4447-b256-0c982ed2ec82,-4.4,2,0.3436,constructive
7fbd68ef-ea8f-4ee5-9b2d-f92a257265f6,-4.2,2,0.4232,constructive
471eb819-50a1-4159-8d02-89596a7ca530,-3,2,0.3239,constructive
955e7bd9-eb95-42b0-bff4-f0628af7d418,-1.8,2,0.5112,constructive
b29d8200-3fb1-45ae-8c36-59e7a7390c82,-1.6,2,0.5451,constructive
077b4050-54ac-403e-8ae5-6a3b0920b1fa,-1,2,0.6989,destructive
e2b2fadd-76b6-4c57-8eba-c89142bb8aa6,-0.8,2,0.8584,destructive
d4f9569a-bae3-48b3-b03e-dba5832400bd,-0.6,2,0.6479,destructive
a8e313fd-867f-42db-9303-a0d9f9047c01,0,2,0.4283,constructive
1626f084-7b1c-4dae-b1a5-53620ef5170a,0.6,2,0.6479,destructive
59e027a1-7f2b-4b25-a2b1-550ca81653d2,0.8,2,0.8584,destructive
1f1944c2-9248-417f-93c9-73997cb77da2,1,2,0.6989,destructive
ffddce85-9f8a-451e-a222-6e653d1088aa,1.6,2,0.5451,constructive
3733e89f-cf8b-4143-90d1-db1f2452b208,1.8,2,0.5112,constructive
277919ca-566d-4b52-9e3f-84be322318ac,3,2,0.3239,constructive
a3ffd338-b421-4ddf-b8ab-7600d4b7f5a2,4.2,2,0.4232,constructive
195997be-212d-4440-97e2-3dc13e6df2ad,4.4,2,0.3436,constructive
83576898-49dd-483f-b6ae-49228eed4f7e,5.4,2,0.4886,constructive
8773b054-5392-4db7-b69f-87cc642c6cb9,5.6,2,0.7175,constructive
4e452c9d-d07f-4267-948d-ccdba098ebb8,5.8,2,0.6297,constructive
2a3ef406-979b-4633-ad6e-9c76f6d0e3fb,6,2,0.3999,constructive
75790aef-f9a2-49de-8bea-1c52bdc44fe7,6.2,2,0.303,constructive
9265d647-decb-465c-ab10-1c644f10472d,6.4,2,0.4326,constructive
761baec9-6a86-4f23-8d12-f4f84835d811,6.6,2,0.6032,constructive
7c91f53c-7050-49b0-966f-1f059bedb967,6.8,2,0.541,constructive
e414b12e-d77d-40ac-b0b6-14dd6efcd676,7.8,2,0.5158,constructive
f5eb7aa0-044f-4b9a-b0b7-d1dc32ce1c68,8,2,0.7193,constructive
90d2bc1c-7ac9-4862-837d-cf39706f1431,8.2,2,0.4555,constructive
d311d979-2746-42a8-90c2-91c9468edd55,8.6,2,0.4795,destructive
de2aab30-a06f-46e3-9de0-6c000ab97f73,8.8,2,0.5499,destructive
2becad02-a12d-476c-8184-5a7385281e64,9,2,0.4039,destructive
e1b825b2-4528-4b0b-b589-4ae7a00068b8,10,2,0.5926,constructive
0599de91-59a5-4d01-8ea4-35a10696a945,-10,2.2,0.6314,constructive
d4e6e5f1-305a-4fb9-b45b-8c7798b8dda0,-9.6,2.2,0.3845,destructive
